resultado_id;medalla;deportista_id;juego_id;evento_id
86590;NA;43915;39;88
86591;NA;43916;19;111
86592;Bronze;43917;25;325
86593;NA;43918;31;454
86594;NA;43918;33;454
86595;NA;43918;35;65
86596;NA;43918;35;155
86597;NA;43919;45;88
86598;Silver;43919;47;88
86599;NA;43919;49;88
86600;NA;43920;35;88
86601;NA;43920;37;88
86602;NA;43921;29;88
86603;NA;43922;15;429
86604;NA;43923;37;337
86605;NA;43923;37;278
86606;NA;43923;37;246
86607;Gold;43923;39;278
86608;Bronze;43923;39;246
86609;NA;43923;41;278
86610;Bronze;43924;42;306
86611;NA;43925;49;132
86612;Bronze;43926;15;120
86613;NA;43927;29;75
86614;NA;43928;49;45
86615;Gold;43929;11;43
86616;Silver;43929;13;43
86617;Silver;43929;15;43
86618;Silver;43930;35;120
86619;NA;43931;33;1
86620;NA;43932;19;21
86621;Silver;43932;19;22
86622;NA;43932;19;23
86623;NA;43932;19;24
86624;NA;43932;19;25
86625;Gold;43932;19;26
86626;NA;43932;19;27
86627;NA;43932;19;28
86628;NA;43933;37;93
86629;NA;43934;23;297
86630;Silver;43934;23;298
86631;NA;43935;11;378
86632;Gold;43936;30;461
86633;NA;43936;32;461
86634;NA;43937;44;668
86635;NA;43937;46;668
86636;NA;43937;46;571
86637;NA;43937;48;668
86638;NA;43938;17;74
86639;NA;43939;39;213
86640;NA;43939;39;214
86641;NA;43939;39;215
86642;NA;43939;39;216
86643;NA;43939;39;217
86644;NA;43939;39;218
86645;NA;43940;50;6
86646;NA;43941;49;13
86647;NA;43942;27;387
86648;NA;43942;27;19
86649;NA;43942;29;387
86650;Gold;43943;6;279
86651;NA;43943;6;365
86652;Bronze;43944;35;290
86653;NA;43945;39;175
86654;NA;43945;39;13
86655;Bronze;43946;45;55
86656;NA;43947;45;245
86657;NA;43948;49;137
86658;NA;43949;35;29
86659;Bronze;43949;37;29
86660;NA;43949;39;29
86661;NA;43950;40;14
86662;NA;43951;49;1
86663;NA;43951;51;1
86664;NA;43952;32;40
86665;NA;43953;43;183
86666;NA;43954;41;140
86667;NA;43955;37;85
86668;NA;43955;37;86
86669;NA;43956;47;135
